IE_NAME;IC_GROUP0;IC_GROUP1;IC_GROUP2
Водонагреватель Oasis 10 FP;Кевларобетон;Водонагреватели;
Водонагреватель Oasis 10 FP;Кевларобетон;Тепловое оборудование;
Водонагреватель Haier ES10V-Q1;Кевларобетон;Водонагреватели;
Водонагреватель Haier ES10V-Q1;Кевларобетон;Тепловое оборудование;
Водонагреватель Ariston Abs blu evo RS 10U;Кевларобетон;Водонагреватели;
Водонагреватель Ariston Abs blu evo RS 10U;Кевларобетон;Тепловое оборудование;
Водонагреватель Elsotherm CK8A;Кевларобетон;Водонагреватели;
Водонагреватель Elsotherm CK8A;Кевларобетон;Тепловое оборудование;
Водонагреватель Atlantic Round 50;Кевларобетон;Водонагреватели;
Водонагреватель Atlantic Round 50;Кевларобетон;Тепловое оборудование;
Водонагреватель Atlantic Opro 10 RB;Кевларобетон;Водонагреватели;
Водонагреватель Atlantic Opro 10 RB;Кевларобетон;Тепловое оборудование;
Воздухоочиститель Air-O-Swiss 2055D;Кевларобетон;Воздухоочистители;
Воздухоочиститель Air-O-Swiss 2055D;Кевларобетон;Фильтры для воды;
Воздухоочиститель Air-O-Swiss 2055DR;Кевларобетон;Воздухоочистители;
Воздухоочиститель Air-O-Swiss 2055DR;Кевларобетон;Фильтры для воды;
Воздухоочиститель Air-O-Swiss E2441A;Кевларобетон;Воздухоочистители;
Воздухоочиститель Air-O-Swiss E2441A;Кевларобетон;Фильтры для воды;
Воздухоочиститель Air-O-Swiss W2055A;Кевларобетон;Воздухоочистители;
Воздухоочиститель Air-O-Swiss W2055A;Кевларобетон;Фильтры для воды;
Воздухоочиститель Air-O-Swiss S450;Кевларобетон;Воздухоочистители;
Воздухоочиститель Air-O-Swiss S450;Кевларобетон;Фильтры для воды;
Воздухоочиститель Air-O-Swiss AP-410F5;Кевларобетон;Воздухоочистители;
Воздухоочиститель Air-O-Swiss AP-410F5;Кевларобетон;Фильтры для воды;
Сплит-система Neoline NAC-07HN1/16Y;Кевларобетон;Кондиционеры;
Сплит-система Neoline NAC-07HN1/16Y;Кевларобетон;Увлажнители;
Сплит-система Haier HSU-07HMD203/R2;Кевларобетон;Кондиционеры;
Сплит-система Haier HSU-07HMD203/R2;Кевларобетон;Увлажнители;
Сплит-система Electrolux EACS-09HAR/N3;Кевларобетон;Кондиционеры;
Сплит-система Electrolux EACS-09HAR/N3;Кевларобетон;Увлажнители;
Сплит-система Samsung AR12KQFHBWKNER;Кевларобетон;Кондиционеры;
Сплит-система Samsung AR12KQFHBWKNER;Кевларобетон;Увлажнители;
Сплит-система LG CS12AWV - Лендинг;Кевларобетон;Кондиционеры;
Сплит-система LG CS12AWV - Лендинг;Кевларобетон;Увлажнители;
Сплит-система Scarlett RRI 07-M3G8;Кевларобетон;Кондиционеры;
Сплит-система Scarlett RRI 07-M3G8;Кевларобетон;Увлажнители;
Домовенок;Декоративные изделия;;
Ежик;Декоративные изделия;;
Черепаха;Декоративные изделия;;
Лев большой;Декоративные изделия;;
Лягушка;Декоративные изделия;;
Медвежонок;Декоративные изделия;;
Петух;Декоративные изделия;;
Медведь;Декоративные изделия;;
Дачница;Декоративные изделия;;
Дачник;Декоративные изделия;;
Косуля;Декоративные изделия;;
Гусь с корзинами;Декоративные изделия;;
Божья коровка;Декоративные изделия;;
Мухомор;Декоративные изделия;;
Пантера;Декоративные изделия;;
Гриб;Декоративные изделия;;
Гриб Семейка;Декоративные изделия;;
Аист с младенцем;Декоративные изделия;;
Улитка;Декоративные изделия;;
Орел;Декоративные изделия;;
Ботинок-цветник;Декоративные изделия;;
Гном;Декоративные изделия;;
Медвежонок с корзинкой;Декоративные изделия;;
Мальчик с рыбой (фигура, фонтан);Декоративные изделия;;
Стол декоративный;Декоративные изделия;;
Японский фонарик;Декоративные изделия;;
Вазон кубок;Декоративные изделия;;
Вазон пятилучевой на ножке;Декоративные изделия;;
Лебедь-цветник;Декоративные изделия;;
Вазон пятилучевой;Декоративные изделия;;
Вазон V-40Л;Декоративные изделия;;
Тюлень (фигура, фонтан);Декоративные изделия;;
Вазон Кирпич;Декоративные изделия;;
Вазон овальный;Декоративные изделия;;
Вазон шестигранный;Декоративные изделия;;
Урна шестигранная;Декоративные изделия;;
Урна с узором;Декоративные изделия;;
Урна бетонная;Декоративные изделия;;
Урна круглая с цветком;Декоративные изделия;;
Урна квадратная Звезда;Декоративные изделия;;
Урна с орнаментом;Декоративные изделия;;
"Скамейка ""Солнце""";Декоративные изделия;;
"Скамейка ""Звезда""";Декоративные изделия;;
"Скамейка со спинкой ""Слон""";Декоративные изделия;;
"Скамейка со спинкой ""Звезда""";Декоративные изделия;;
Скамейка городская;Декоративные изделия;;
Бордюры 1000х200х80;Бордюры;;
Бордюры 1000х300х150;Бордюры;;
Бордюры 1000х450х180;Бордюры;;
Лоток дождевой;Бордюры;;
Бордюры 1000х300х180;Бордюры;;
Песок обогащенный;Песок;;
Песок природный;Песок;;
Раствор строительный;Бетоны и  растворы;;
Бетон;Бетоны и  растворы;;
Доставка и подача бетона;Бетоны и  растворы;;
Шлакоблок полнотелый 390х190х190;Шлакоблок;;
Шлакоблок пустотелый 390х190х190;Шлакоблок;;
Шлакоблок 390х190х90;Шлакоблок;;
Пескоцементный блок П2 390х190х90;Шлакоблок;;
Пескоцементный блок П2 390х190х190;Шлакоблок;;
Бордюр дорожный литой;ЖБИ;;
Кольца;ЖБИ;;
Плиты для колодцев;ЖБИ;;
Каналы и тоннели;ЖБИ;;
Подпорные стенки;ЖБИ;;
Сваи;ЖБИ;;
Блоки фундаментные ФБС;ЖБИ;;
Сборный железобетон;ЖБИ;;
Световые опоры и приставки;ЖБИ;;
Плиты преднапряженные ПАГ-14;ЖБИ;;
Тактильная плитка;Тактильная плитка;;
C диагональными рифами;Тактильная плитка;;
C продольными рифами;Тактильная плитка;;
C конусными рифами;Тактильная плитка;;
C квадратными рифами;Тактильная плитка;;
Балясина;Кевларобетон;Балюстрада;
Столб;Кевларобетон;Балюстрада;
Чашка большая;Кевларобетон;Балюстрада;
Чашка;Кевларобетон;Балюстрада;
Чашка с уклоном;Кевларобетон;Балюстрада;
Крышка на столб;Кевларобетон;Балюстрада;
Основание для столба;Кевларобетон;Балюстрада;
Перила;Кевларобетон;Балюстрада;
Основание для балясин;Кевларобетон;Балюстрада;
Ступень 1180х335х35;Кевларобетон;Входная группа;
Ступень 350х350х40;Кевларобетон;Входная группа;
Подступенок 1190х140х30;Кевларобетон;Входная группа;
Подступенок 350х150х40;Кевларобетон;Входная группа;
Уголок для дверных наличников;Кевларобетон;Входная группа;
Стартовый наличник (фигурный);Кевларобетон;Входная группа;
Наличник на дверь;Кевларобетон;Входная группа;
Плитка на крыльцо;Кевларобетон;Входная группа;
Плинтус;Кевларобетон;Входная группа;
Плитка облицовочная 600х600х10;Кевларобетон;Плита цокольная;
Плитка облицовочная 600х300х10;Кевларобетон;Плита цокольная;
Плитка облицовочная 400х400х15;Кевларобетон;Плита цокольная;
Плитка облицовочная 400х400х20;Кевларобетон;Плита цокольная;
Плитка облицовочная 400х400х40;Кевларобетон;Плита цокольная;
Плитка «Мозайка»;Кевларобетон;Плита цокольная;
Плитка облицовочная;Кевларобетон;Плита цокольная;
